YearAndSession,BillNumber,Title,Synopsis,bill_summary,programmatic,program_start_year,program_end_year,funding,responsible_party,stakeholders,innovative_summary,innovative_score,child_poverty_direct_summary,child_poverty_direct_score
2024 Regular Session,HB0001,Maryland Paint Stewardship,"Requiring producers of architectural paint or a representative organization to submit a plan for the establishment of a Paint Stewardship Program to the Department of the Environment by July 1, 2025, and in accordance with certain requirements; requiring the Department to review and approve certain plans, including a certain assessment; prohibiting the sale of certain architectural paint beginning January 1, 2026 unless an approved Paint Stewardship Program has been implemented by certain producers; etc.","This bill establishes the Maryland Paint Stewardship Program, requiring architectural paint producers or their representative organizations to submit a plan to the Department of the Environment by July 1, 2025. The plan must detail how postconsumer paint will be collected, transported, reused, recycled, and disposed of statewide, minimizing public sector involvement and financial responsibility. It also requires the establishment of a Paint Stewardship Assessment on architectural paint sold in the State to cover program costs. Beginning January 1, 2026, or 6 months after plan approval, producers and retailers must add this assessment to the cost of paint, and producers must participate in an approved program to sell paint in the State. The Department of the Environment's Office of Recycling is responsible for reviewing and approving these plans and annual reports. The bill also mandates a review of the program's costs and benefits by December 1, 2028.",True,2026.0,,,"Maryland Department of the Environment, Office of Recycling","Producers of architectural paint, retailers, distributors, consumers of architectural paint in Maryland, and the general public benefiting from improved waste management.","The program utilizes an Extended Producer Responsibility (EPR) model, shifting the financial and operational responsibility for managing postconsumer architectural paint from local governments and taxpayers to the paint producers themselves. This approach aims to incentivize producers to design more sustainable products and manage their products' end-of-life, which is an innovative approach to waste management and resource recovery.",7,"This bill focuses on environmental management through paint recycling and stewardship. While improved environmental health can indirectly benefit all communities, including those with child poverty, it does not directly address socioeconomic factors contributing to child poverty such as income, housing, food security, or education.",1
2024 Regular Session,HB0002,Property Taxes - Authority of Counties to Establish a Subclass and Set a Special Rate for Vacant and Abandoned Property,"Authorizing the Mayor and City Council of Baltimore City or the governing body of a county to establish, by law, a subclass of real property consisting of vacant lots or improved property cited as vacant and unfit for habitation or other authorized use on a certain violation notice and to set a special property tax rate for certain vacant and abandoned property; requiring the Mayor and City Council of Baltimore City or the governing body of a county that enacts a special tax rate to submit a certain report by December 1 each year; etc.","This bill authorizes the Mayor and City Council of Baltimore City or the governing body of a county to establish a special subclass of real property for vacant and abandoned properties and to set a special property tax rate for these properties. It also requires these local jurisdictions to report annually to the Department of Housing and Community Development and the General Assembly on the special rate, the number of properties affected, revenue changes, use of revenue, and plans for adaptive reuse of these properties.",False,2024.0,,,Local governing bodies (Baltimore City and counties) with reporting to the Maryland Department of Housing and Community Development,"Property owners of vacant and abandoned properties, local governments, residents and communities impacted by vacant properties, and the Department of Housing and Community Development.","The bill provides a new regulatory tool to local governments by allowing them to create a specific property tax subclass and rate for vacant and abandoned properties. This approach is an innovative use of existing tax structures to address urban blight and encourage redevelopment, rather than implementing new technology.",5,"The program has an indirect potential to impact child poverty by incentivizing the redevelopment of vacant and abandoned properties. This could lead to revitalized communities, improved local services (if tax revenue is used for such), and potentially safer environments, which could benefit children living in poverty within those areas. However, it does not directly provide aid or services to children or families experiencing poverty.",3
2024 Regular Session,HB0004,Institutions of Higher Education - Admissions Standards - Prohibition on Consideration of Legacy Preference or Donor Preference,Prohibiting institutions of higher education that receive State funds from considering a legacy preference or donor preference as an eligible criterion for admissions standards at the institution; and allowing an institution of higher education to ask applicants for information regarding familial relationships to alums of the institution for data collection purposes.,This bill prohibits institutions of higher education in Maryland that receive State funds from considering a legacy preference (familial relationship to an alum) or a donor preference (familial relationship to a financial supporter) as an eligible criterion for admissions. Institutions may still ask for this information for data collection purposes.,False,2024.0,,,Institutions of Higher Education in Maryland receiving State funds,"Applicants to institutions of higher education, and institutions of higher education in Maryland receiving State funds.","This bill introduces a regulatory change to admissions standards, prohibiting legacy and donor preferences. While it aims to foster greater equity in higher education, it is a policy adjustment to existing processes rather than an implementation of new technologies or fundamentally new government approaches.",2,"By removing legacy and donor preferences from college admissions, this bill aims to create a more equitable admissions process. This could indirectly benefit students from lower-income backgrounds, including those from families experiencing poverty, by reducing barriers to entry that disproportionately affect those without familial or financial connections to institutions. While it doesn't provide direct financial aid or services, it enhances opportunities for qualified students who might otherwise be overlooked.",4
2024 Regular Session,HB0005,Criminal Law - Indecent Exposure Within the Presence of a Minor,"Prohibiting a person from committing the common law crime of indecent exposure; prohibiting a person from, with prurient intent, committing the common law crime of indecent exposure when the person knows or reasonably should know that a minor is present and the minor is at least 2 years old and is more than 4 years younger than the person; and establishing a penalty of 5 years of imprisonment or a fine of up to $10,000 or both on conviction for a crime of indecent exposure in the presence of a minor.","This bill amends Maryland's criminal law regarding indecent exposure. It explicitly prohibits the common law crime of indecent exposure and establishes a new, more severe offense for committing indecent exposure with prurient intent when the person knows or reasonably should know that a minor is present, provided the minor is at least 2 years old and more than 4 years younger than the person. Penalties are increased for this offense involving minors, from up to 3 years imprisonment and/or a $1,000 fine to up to 5 years imprisonment and/or a $10,000 fine.",False,,,,Maryland law enforcement agencies and the Judiciary,"Individuals who commit or are accused of indecent exposure, and minors who may be present during such acts.","This bill is a standard legislative update to criminal law, clarifying and strengthening existing statutes related to indecent exposure, especially in the presence of minors. It does not introduce new technologies or novel government approaches to public services or administration.",1,"This bill addresses criminal penalties for indecent exposure and does not directly establish programs or initiatives aimed at alleviating child poverty through economic support, education, health, or social services. Its potential impact on child poverty is indirect at best, by aiming to create a safer environment for children.",1
2024 Regular Session,HB0007,Housing Innovation Pilot Program and Housing Innovation Fund - Establishment (Housing Innovation Pilot Program Act of 2024),"Establishing the Housing Innovation Fund to provide loans for local housing authorities and county governments to develop mixed-income, cross-subsidized housing; establishing the Housing Innovation Pilot Program in the Department of Housing and Community Development to assist public housing authorities and county governments in increasing housing production and to reward counties pursuing solutions to the problem of housing scarcity; authorizing the Governor to include an appropriation of $5,000,000 to the Fund in certain fiscal years; etc.","This bill establishes the Housing Innovation Pilot Program and the Housing Innovation Fund within the Department of Housing and Community Development. The program provides low- or no-interest loans to local housing authorities and county governments, partnering with housing developers, to create mixed-income, cross-subsidized housing. Projects must reserve a percentage of units for households with gross annual incomes at or below 50% or 60% of the area median income, maintain affordability for at least 99 years, and may involve public ownership and prevailing wage requirements. Local housing authorities are required to provide a dollar-for-dollar match for program funds.",True,2024.0,2029.0,20000000.0,Department of Housing and Community Development,"Local housing authorities, county governments, housing developers, and low- to moderate-income households seeking affordable housing in Maryland.","The program is explicitly named an ""Innovation Pilot Program"" and aims to reward counties pursuing ""innovative solutions to the problem of housing scarcity."" It promotes a mixed-income, cross-subsidized housing model and prioritizes projects that do not rely on traditional Low-Income Housing Tax Credits, suggesting an innovative financing approach. The emphasis on public ownership and a 99-year affordability restriction for units also represents a new, long-term approach to housing stability.",7,"The program has a high potential for direct impact on child poverty by increasing the supply of deeply affordable and stable housing. By mandating that 20% of units are for households at or below 50% of the Area Median Income (AMI) or 40% at or below 60% AMI, and ensuring affordability for 99 years, it directly addresses housing insecurity and cost burdens, which are major drivers of child poverty. Stable, affordable housing can free up family resources for other necessities like food, healthcare, and education, improving overall child well-being.",9
2024 Regular Session,HB0013,Residential Property - Affordable Housing Land Trusts - Authority to Establish Condominium Regimes,Authorizing a condominium regime to be established on certain land owned by an affordable housing land trust.,"This bill amends Maryland's real property law to authorize affordable housing land trusts to establish condominium regimes on properties they own, specifically allowing a leasehold estate to be subjected to a condominium regime for residential purposes if an affordable housing land trust owns the reversionary fee simple estate. This change expands the entities that can create such residential condominium arrangements.",False,2024.0,,,Maryland land records offices and affordable housing land trusts,"Affordable housing land trusts, developers and residents of affordable housing, and individuals seeking affordable residential properties.","This bill makes an administrative update to real property law, clarifying and expanding the authority of certain entities (affordable housing land trusts) to establish condominium regimes. It does not introduce new technologies or novel government approaches.",1,"The bill's potential to impact child poverty is indirect. By facilitating the creation and management of more affordable housing options through land trusts, it can contribute to housing stability for low-income families. Stable housing is a key factor in reducing child poverty, but this bill does not offer direct financial aid or specific poverty reduction programs.",4
2024 Regular Session,HB0016,Tax Sales - Homeowner Protection Program - Funding,Requiring each collector of property taxes to include with each property tax bill a separate insert that describes the Homeowner Protection Program and encourages taxpayers to make a voluntary donation to the Program through a website maintained by the State Department of Assessments and Taxation.,"This bill enhances funding for the existing Homeowner Protection Program. It requires local property tax collectors to include an insert with each tax bill, designed by the State Tax Sale Ombudsman, to encourage voluntary donations to the Program via a website maintained by the State Department of Assessments and Taxation. Additionally, it mandates a $15 fee for each certificate of sale issued to a purchaser at a tax sale, with this fee being credited to the Homeowner Protection Fund. The bill also reiterates the Governor's requirement to include an annual appropriation of $750,000 to the Fund for fiscal years 2023, 2024, and 2025.",False,2024.0,,2250000.0,"State Tax Sale Ombudsman, State Department of Assessments and Taxation, and local collectors of property taxes. The Governor is responsible for including appropriations in the budget bill.","Low-income, elderly, and disabled homeowners at risk of losing their homes to tax sale foreclosure, as well as taxpayers who may make voluntary donations or pay the tax sale certificate fee.",The bill introduces new approaches to funding a state program by establishing a state-maintained website for voluntary electronic donations and leveraging property tax bill inserts as a direct communication channel to solicit funds from the public. It also adds a new fee on tax sale purchasers dedicated to the fund.,5,"The Homeowner Protection Program aims to prevent low-income homeowners from losing their homes to tax sale foreclosure. By ensuring housing stability for these families, the program directly mitigates a significant factor contributing to child poverty, such as homelessness or displacement, and provides a stable environment for children.",7
2024 Regular Session,HB0017,Charter Counties - Comprehensive Plans - Affirmatively Furthering Fair Housing,"Altering requirements for the housing element of a charter county's comprehensive plan to include requirements related to affirmatively furthering fair housing; requiring the housing element of a comprehensive plan that is enacted or amended on or after January 1, 2025, to include an assessment of fair housing to ensure that the county is affirmatively furthering fair housing; etc.","This bill alters the requirements for the housing element of a charter county's comprehensive plan. It mandates that these plans, when enacted or amended on or after January 1, 2025, include an assessment to ensure the county is affirmatively furthering fair housing, which means promoting policies that overcome patterns of segregation and foster inclusive communities. It also requires charter counties to incorporate existing Assessments of Fair Housing or analyses of impediments to fair housing into their comprehensive plans when amended on or after January 1, 2024. The Department of Planning, in consultation with the Department of Housing and Community Development, will provide technical assistance to counties for developing these housing elements.",False,2025.0,,,Maryland Department of Planning; Maryland Department of Housing and Community Development,"Charter counties, residents of charter counties, particularly those in need of affordable or low-income housing, and populations impacted by fair housing issues.","The bill applies existing federal fair housing concepts to state and local planning requirements, mandating that charter counties integrate 'affirmatively furthering fair housing' into their comprehensive plans. While it expands existing planning duties, it does not introduce new technologies or fundamentally new approaches to government, but rather extends an established policy framework.",2,"By mandating that charter counties proactively address fair housing and the need for affordable and low-income housing in their comprehensive plans, this bill has the potential to indirectly impact child poverty. Improved access to stable, affordable, and desegregated housing can lead to better educational outcomes, health, and economic stability for families, which are key factors in reducing child poverty. However, the impact is indirect, relying on the implementation of planning policies.",6
2024 Regular Session,HB0019,Natural Resources - Northern Snakehead - Common Name,"Establishing the common name of the northern snakehead as the ""Chesapeake Channa"".","This bill renames the common name of the northern snakehead fish to ""Chesapeake Channa"" in Maryland. It mandates the Department of Natural Resources (DNR) to adopt regulations and update all applicable published materials to reflect this new name by January 1, 2025. It also amends sections of the Natural Resources Article related to commercial northern snakehead licenses and archery fishing for the species, incorporating the new common name.",False,2024.0,,,Maryland Department of Natural Resources,"Commercial fishers holding northern snakehead licenses, recreational fishers targeting northern snakehead, and the general public who interact with DNR materials or are interested in aquatic species nomenclature in Maryland.","This bill is not innovative, as its primary purpose is to change the common name of a fish species and update corresponding administrative documents and regulations. It does not introduce new technologies or novel government approaches.",1,"This bill has no direct impact on child poverty. Its scope is limited to a change in the common name of a fish species and subsequent administrative updates, without any provisions related to economic support, social services, or educational opportunities for children or families.",1
2024 Regular Session,HB0022,Agriculture - Pollinator Habitat Plan - Requirements for State Highway Administration,"Requiring the State Highway Administration's pollinator habitat plan to include policies and procedures regarding the use of pollinator habitat areas along State highways; requiring the Administration to track and evaluate federal programs that provide funding for pollinator habitats, native plants, and invasive species control and to apply for any funding that the Administration determines appropriate and beneficial to pollinator habitats; requiring the Administration to update the plan by October 1 each year; etc.","This bill updates the State Highway Administration's (SHA) pollinator habitat plan. It requires the SHA to include specific policies and procedures for encouraging pollinator-friendly native plants, developing and maintaining pollinator habitats along State highways (while adhering to safety standards), and educating the public about these areas. The SHA must also track and evaluate federal programs providing funding for pollinator habitats, native plants, and invasive species control, and apply for appropriate funding. The SHA's updated plan, including current policies and a list of habitat locations and sizes, must be published on its website annually, starting by October 1, 2024.",False,2024.0,,,State Highway Administration,"Pollinators, the environment, drivers, bicyclists, pedestrians, and the general public in Maryland.","The bill focuses on updating existing plans and procedures, incorporating best practices for pollinator habitats, and seeking federal funding. While beneficial for the environment, it does not introduce new technologies or groundbreaking government approaches.",3,The bill focuses on environmental protection and habitat preservation for pollinators. There is no direct mechanism or intent within the bill to address or impact child poverty.,1
