YearAndSession,BillNumber,Title,Synopsis,bill_summary,programmatic,program_start_year,program_end_year,funding,responsible_party,stakeholders,innovative_summary,innovative_score,child_poverty_direct_summary,child_poverty_direct_score
2023 Regular Session,HB0001,"Civil Actions - Child Sexual Abuse - Definition, Damages, and Statute of Limitations (The Child Victims Act of 2023)","Altering the definition of ""sexual abuse"" for purposes relating to civil actions for child sexual abuse to include any act that involves an adult allowing or encouraging a child to engage in certain activities; establishing certain limitations on damages that may be awarded under the Act; repealing the statute of limitations in certain civil actions relating to child sexual abuse; repealing a statute of repose for certain civil actions relating to child sexual abuse; providing for the retroactive application of the Act; etc.","The bill, known as ""The Child Victims Act of 2023,"" modifies Maryland law regarding civil actions for child sexual abuse. It alters the definition of ""sexual abuse,"" establishes limits on damages that can be awarded, and repeals the statute of limitations and statute of repose for these civil actions, allowing claims to be filed at any time. It also provides for the retroactive application of these changes. Additionally, it adjusts liability limits for local governments, county boards of education, and State units in cases of child sexual abuse claims and allows for appeals of certain interlocutory orders.",False,2023.0,,,"Maryland Judiciary, State of Maryland, and local governments are responsible for implementing and adhering to the revised civil action rules and liability limits.","Victims of child sexual abuse, individuals accused of child sexual abuse, local governments, county boards of education, and State agencies/units (as potential defendants), and the legal community in Maryland.","While significantly altering legal recourse for victims, the bill does not introduce new technologies or novel government program approaches. It primarily modifies existing legal statutes and processes, such as repealing statutes of limitations and repose, which are legal reforms rather than programmatic innovations.",2,"The bill allows victims of child sexual abuse to seek financial damages at any time, which could provide significant monetary compensation to individuals who experienced abuse as minors. While this can address financial hardship caused by past abuse and its long-term effects, it is not a direct child poverty reduction program, as it relies on successful litigation by individuals. It offers potential financial restitution to survivors, which could indirectly alleviate poverty for them.",4
2023 Regular Session,HB0002,Income Tax - Subtraction Modification - Union Dues,"Allowing a subtraction modification under the Maryland income tax for certain union dues paid during the taxable year; and applying the Act to all taxable years beginning after December 31, 2022.","This bill establishes a subtraction modification under the Maryland income tax for union dues paid by an individual during a taxable year. Taxpayers can subtract the amount of union dues paid, up to a maximum of $250 per taxable year, from their federal adjusted gross income to determine their Maryland adjusted gross income. This effectively reduces the taxable income for individuals who pay union dues.",False,2023.0,,,Maryland Comptroller of the Treasury,Individual Maryland residents who pay union dues.,"This bill introduces a standard income tax subtraction modification, which is a common method of adjusting tax policy. It does not employ new technologies or fundamentally new approaches to government services or administration.",1,"This bill provides a tax break to individuals who pay union dues. While it could indirectly benefit some families by slightly increasing their disposable income, it is not a direct or targeted intervention specifically aimed at addressing child poverty. The impact on child poverty would be indirect and likely minimal.",2
2023 Regular Session,HB0003,Maryland State Police Gun Center – Firearms Surrendered Under Final Protective Orders,"Altering the purpose of the Maryland State Police Gun Center to include the tracking, screening, and vetting of all firearms surrendered under final protective orders in the State; and requiring each law enforcement agency to report to the Center the number and type of firearms surrendered, the jurisdictions where the firearms were surrendered, and certain information regarding the individual who surrendered each firearm under final protective orders.","This bill expands the purpose of the Maryland State Police Gun Center to include the tracking, screening, and vetting of all firearms surrendered under final protective orders. It requires each law enforcement agency to report specific information on these surrendered firearms to the Center, similar to how they currently report on crime firearms.",False,2023.0,,,"Maryland State Police Gun Center, Department of State Police","Law enforcement agencies, individuals subject to final protective orders, and the general public benefiting from enhanced firearm tracking and public safety measures related to domestic violence.","The bill enhances an existing statewide database and enforcement center by expanding its scope to include the tracking of firearms surrendered under final protective orders. While it leverages existing infrastructure, it applies a systematic, data-driven approach to a new area of firearm regulation and domestic violence prevention, which could be considered an incremental innovation in government process and public safety strategy.",4,"This bill indirectly impacts child well-being by enhancing public safety and potentially reducing domestic violence, which can be a contributing factor to household instability and poverty. However, it does not directly address economic factors or provide financial support to alleviate child poverty.",1
2023 Regular Session,HB0004,Criminal Law - Sexual Crimes - Repeal of Spousal Defense,Repealing a certain prohibition on prosecuting a person for rape or a certain sexual offense against a victim who was the person's legal spouse at the time of the alleged rape or sexual offense.,"This bill repeals the spousal defense in Maryland's criminal law, allowing a person to be prosecuted for rape or certain sexual offenses against their legal spouse without exceptions based on marital status or cohabitation agreements. This effectively removes the legal protection that previously prevented prosecution for such crimes within a marriage.",False,2023.0,,,"Maryland's criminal justice system, including law enforcement, prosecutors, and the judiciary","Victims of sexual offenses, particularly those who are legally married to the perpetrator, and individuals accused of sexual offenses.","This bill is a legal reform that updates criminal law by removing an outdated spousal defense for sexual crimes. While it aligns with modern societal understanding of consent and domestic violence, it does not introduce new technologies or novel governmental approaches.",2,"The bill directly addresses criminal law concerning sexual offenses and does not provide economic support or target child poverty. While greater safety and justice in households could indirectly contribute to family stability, its direct impact on child poverty is minimal.",1
2023 Regular Session,HB0006,Department of General Services - Energy-Conserving Standards (Maryland Sustainable Buildings Act of 2023),"Requiring the Department of General Services to establish and periodically update standards for State buildings to conserve energy and minimize adverse impacts on birds; requiring the Maryland Green Building Council to include the standards in certain requirements established for the Maryland High Performance Green Building Program; defining ""State building"" as one acquired, constructed, or renovated by the State or one for which 50% of the money for acquisition, construction, or renovation came from State funds; etc.","This bill, known as the Maryland Sustainable Buildings Act of 2023, requires the Department of General Services to establish and periodically update standards for State buildings to conserve energy and minimize adverse impacts on birds. These standards must be consistent with U.S. Green Building Council's LEED Innovation Credit 55 and American Bird Conservancy Bird-Friendly Design Recommendations. The bill also mandates specific interior and exterior lighting minimization during bird migration seasons and encourages the use of automatic control technologies for existing State buildings. The Maryland Green Building Council must include these standards in the Maryland High Performance Green Building Program.",False,2023.0,,,Department of General Services,"State agencies and departments, taxpayers, birds, and the occupants of State buildings.","The program mandates the adoption of modern, specific green building and bird-friendly design standards, including adherence to the U.S. Green Building Council's LEED Innovation Credit 55 and American Bird Conservancy's Bird-Friendly Design Recommendations. It also requires the use of automatic lighting control technologies (timers, photosensors, infrared, motion detectors) and specific seasonal light reduction, which represents a progressive approach to integrating environmental protection and energy efficiency into government infrastructure design and operation.",7,"This bill focuses on energy conservation and bird-friendly design for State buildings. While improved energy efficiency can lead to long-term cost savings for the state, there is no direct mechanism or intent within the bill to address or impact child poverty.",1
2023 Regular Session,HB0009,Equity in Transportation Sector - Guidelines and Analyses,"Requiring that equity be considered when State transportation plans, reports, and goals are developed; altering the membership of the advisory committee on State transportation goals; requiring the Maryland Department of Transportation to conduct transit equity analyses, cost-benefit analyses, and consult with certain communities before announcing or proposing any major service change or any reduction or cancellation of a certain capital expansion project in the construction program; etc.","This bill requires the Maryland Department of Transportation and the Maryland Transit Administration to incorporate equity considerations into State transportation plans, reports, goals, and decision-making processes. It mandates specific transit equity analyses, cost-benefit analyses, and community consultation with various vulnerable populations before implementing major service changes or reducing/canceling capital expansion projects. It also expands the membership of the advisory committee on State transportation goals to include representatives from racial minority communities and transportation labor organizations, and requires evaluation of transportation indicators for racial, disability, ethnic, and low-income disparities.",False,2024.0,,,Maryland Department of Transportation; Maryland Transit Administration,"Racial minority communities, low-income communities, persons with disabilities, disabled riders, riders with limited English proficiency, transit-reliant riders, senior riders, the Maryland business community, rural interests, auto users, transit users, the goods movement industry, environmental advocacy organizations, Maryland Department of Planning, Maryland Association of Counties, Maryland Municipal League, Maryland State Conference of the National Association for the Advancement of Colored People, transportation labor organizations, and the transportation construction industry.","The bill introduces an innovative approach to government decision-making by formally integrating equity analyses and extensive community consultation as mandatory prerequisites for major transportation service changes and capital project reductions. It mandates a structured process to identify and mitigate disparate impacts and disproportionate burdens on vulnerable populations, including a cost-benefit analysis covering economic, employment, education, health, and environmental justice impacts, and requires publishing these analyses for public transparency. This proactive and transparent approach to embedding social equity into infrastructure planning is a significant governmental innovation.",8,"This bill has a high potential for an indirect impact on child poverty by mandating that transportation decisions consider and mitigate disparate impacts and disproportionate burdens on low-income communities. By ensuring equitable access to transportation for parents and caregivers, it can improve access to employment opportunities, education, healthcare, and other essential services, which are critical factors in alleviating family and child poverty. While it doesn't provide direct financial aid, it addresses systemic barriers that contribute to poverty.",7
2023 Regular Session,HB0010,Correctional Officers’ Retirement System – Talbot County,Requiring membership in the Correctional Officers' Retirement System for certain local detention center officers of Talbot County in the event Talbot County becomes a participating governmental unit in the Correctional Officers' Retirement System; and providing that certain local detention center officers who join the Correctional Officers' Retirement System and receive certain service credit shall no longer be members of the Employees' Pension System and shall have no further rights to any benefit in the Employees' Pension System.,This bill requires local detention center officers in Talbot County to become members of the Correctional Officers’ Retirement System if Talbot County chooses to become a participating governmental unit in that system. Officers who transfer will receive service credit from their prior employment with Talbot County and will cease to be members of the Employees’ Pension System.,False,2023.0,,,Maryland State Retirement and Pension System; Talbot County,Local detention center officers of Talbot County employed before and through the effective date of the bill.,This bill makes administrative changes to the retirement system membership for a specific group of county employees. It does not introduce new technologies or novel approaches to government services or administration.,1,"This bill affects the retirement system for a specific group of public employees. While stable employment and benefits can contribute to a household's financial well-being, this bill does not directly target or provide programs to alleviate child poverty.",1
2023 Regular Session,HB0011,Private Well Safety Act of 2023,"Requiring the Department of the Environment to adopt regulations by December 31, 2026, to identify additional standards for water quality testing; requiring the Department, subject to certain funding and in consultation with the Department of Information Technology, to utilize an online portal to receive and upload certain information and to provide public access to the information; requiring the Department of the Environment to consistently share the information collected with the Maryland Department of Health and local health departments; etc.","This bill, the Private Well Safety Act of 2023, requires the Department of the Environment (MDE) to adopt regulations for additional private well water quality testing standards by December 31, 2026. It mandates MDE, in consultation with the Department of Information Technology and subject to funding, to create and utilize an online portal for collecting and publicly accessing private well water quality data. State-certified laboratories are required to submit testing results to MDE quarterly using a standardized form. The bill also amends existing law regarding residential rental properties served by private wells, requiring owners to conduct water quality testing every three years, disclose results to tenants, and address any contamination found. Furthermore, it adds a provision to real property law, making water quality testing a condition of sale for properties with private wells, with results to be reviewed by both purchaser and vendor before settlement. The Department of the Environment is also tasked with conducting a study on long-term funding options for groundwater monitoring and a private well grant fund.",False,,,,"Maryland Department of the Environment (MDE), Department of Information Technology (DoIT) (consultation), Maryland Department of Health (MDH), local health departments, and State-certified laboratories.","Owners and purchasers of real property with private wells, owners and tenants of residential rental properties with private wells, State-certified laboratories, and all Maryland residents who use private wells for their drinking water.","The bill establishes a centralized online portal for collecting and publicly accessing private well water quality testing data, which represents an innovative approach to environmental monitoring and public health transparency. This system, supported by standardized reporting from laboratories, aims to provide comprehensive and accessible information on water quality across the state.",7,"The bill focuses on regulatory changes, data collection, and property transaction requirements to improve water quality and public health for private well users. While improved water safety indirectly benefits all residents, including children in poverty, the direct financial assistance (grants for testing and remediation) initially proposed in earlier drafts of the bill was removed. Therefore, it does not directly address the economic aspects of child poverty but provides an indirect benefit through enhanced public health and safety standards.",3
2023 Regular Session,HB0012,Equitable and Inclusive Transit-Oriented Development Enhancement Act,"Repealing the authority of the Secretary of Transportation to designate transit-oriented development; establishing the Transit-Oriented Development Capital Grant and Revolving Loan Fund to promote the equitable and inclusive development of transit-oriented developments; authorizing the Department of Transportation to use the Fund to provide financial assistance to local jurisdictions; requiring the Governor to include in the annual budget bill an amount sufficient to ensure a Fund balance of at least $5,000,000; etc.","This bill establishes the Transit–Oriented Development Capital Grant and Revolving Loan Fund, a special nonlapsing fund, which the Department of Transportation (MDOT) will use to provide financial assistance to local jurisdictions. This assistance is intended for design plans, public infrastructure improvements, and gap funding for public or private development within transit–oriented developments (TODs). The bill emphasizes promoting equitable and inclusive TODs, with scoring preferences for projects that enhance access to transit for low-income and minority residents, and access to areas with affordable housing and diverse job/educational opportunities. It also mandates an annual report to the General Assembly on TOD efforts.",True,2023.0,,5000000.0,"Maryland Department of Transportation (MDOT), in collaboration with the Smart Growth Subcabinet and Department of Housing and Community Development","Local jurisdictions (counties and municipal corporations), private and nonprofit developers, and residents, particularly low-income and minority residents, within transit-oriented developments.","The program creates a dedicated, nonlapsing revolving loan and grant fund with a mandated annual minimum balance to support Transit-Oriented Development. While TOD is not new, the explicit integration of equity goals into the scoring standards for financial assistance applications, prioritizing projects that enhance access for low-income and minority residents and promote affordable housing, represents a more intentional and structured approach to equitable development.",5,"The program has the potential for an indirect impact on child poverty by enhancing access to transit for low-income and minority residents, and by supporting development in areas with affordable housing and a diversity of job and educational opportunities. By improving infrastructure and creating opportunities in transit-accessible areas, it can indirectly improve household economic stability and access to resources for families, thereby alleviating conditions that contribute to child poverty.",6
2023 Regular Session,HB0013,Hate Crimes – Civil Remedy,Providing that a person who is the victim of an act that would constitute a violation of certain hate crime laws may bring a civil action against the person or persons who committed the act in a court of competent jurisdiction; and authorizing the court to impose an injunction and award certain economic and noneconomic damages.,"This bill creates a new civil remedy in Maryland law, allowing victims of hate crimes to file a civil lawsuit against the perpetrators. Courts may issue injunctions, award economic and non-economic damages (including pain and suffering, emotional distress, and mental anguish, with certain exclusions), and also award reasonable attorney's fees and court costs. Damages can be up to three times the actual damages.",False,,,,Maryland judicial system (courts),"Victims of hate crimes, individuals who commit hate crimes, and the legal community (attorneys, courts) within Maryland.","The bill expands existing legal frameworks by providing a specific civil remedy for hate crimes. While civil lawsuits are not new, applying this mechanism directly and explicitly to hate crimes, allowing for specific types of damages and treble damages, represents an evolution in addressing these offenses within the state's legal system, offering an alternative or complementary avenue to criminal prosecution.",3,"The bill's primary focus is on providing legal recourse for victims of hate crimes. It does not directly establish programs or allocate funds aimed at alleviating child poverty. Any potential impact on child poverty would be indirect, through victims possibly receiving damages that could contribute to their household's financial stability, but this is not the bill's intent or primary effect.",1
