GEOID,child_pov_rate,laborforce_nonparticipation_rate,civilian_unemployment_rate,male_16_19_unemployment_rate,male_20_21_unemployment_rate,male_22_24_unemployment_rate,male_25_29_unemployment_rate,male_30_34_unemployment_rate,male_35_44_unemployment_rate,male_45_54_unemployment_rate,male_55_59_unemployment_rate,male_60_61_unemployment_rate,male_62_64_unemployment_rate,female_16_19_unemployment_rate,female_20_21_unemployment_rate,female_22_24_unemployment_rate,female_25_29_unemployment_rate,female_30_34_unemployment_rate,female_35_44_unemployment_rate,female_45_54_unemployment_rate,female_55_59_unemployment_rate,female_60_61_unemployment_rate,female_62_64_unemployment_rate,male_16_19_laborforce_nonparticipation_rate,male_20_21_laborforce_nonparticipation_rate,male_22_24_laborforce_nonparticipation_rate,male_25_29_laborforce_nonparticipation_rate,male_30_34_laborforce_nonparticipation_rate,male_35_44_laborforce_nonparticipation_rate,male_45_54_laborforce_nonparticipation_rate,male_55_59_laborforce_nonparticipation_rate,male_60_61_laborforce_nonparticipation_rate,male_62_64_laborforce_nonparticipation_rate,female_16_19_laborforce_nonparticipation_rate,female_20_21_laborforce_nonparticipation_rate,female_22_24_laborforce_nonparticipation_rate,female_25_29_laborforce_nonparticipation_rate,female_30_34_laborforce_nonparticipation_rate,female_35_44_laborforce_nonparticipation_rate,female_45_54_laborforce_nonparticipation_rate,female_55_59_laborforce_nonparticipation_rate,female_60_61_laborforce_nonparticipation_rate,female_62_64_laborforce_nonparticipation_rate,mean_usual_hours_worked,male_underemployment_rate,female_underemployment_rate,self_employment_rate,industry_agriforestfishhuntmine_rate,industry_manufacturing_rate,industry_transportwarehouseutility_rate,poverty_education_lthighschool_rate,poverty_family_marriedcouple_rate,poverty_family_singledad_rate,poverty_family_singlemom_rate,poverty_family_under25_rate,poverty_grandparents_responsible_rate,grandparents_responsible_noparentpresent_rate,grandparents_responsible_length_gt1year_rate,poverty_language_nonenglish_rate,internet_no_internet_rate,childcare_centers,childcare_cost_percent_median_family_income,small_business_loan_dollars_per_capita,Urban_status,tract_name,county_name
24001000100,0.0550284629981025,0.544609665427509,0.0718367346938776,0,0,0,0,0.716981132075472,0.0467836257309942,0,0.32967032967033,0,0,0,0,0,0,0,0,0,0,0,0,0.686046511627907,0,0,0,0.116666666666667,0.422297297297297,0.130434782608696,0.1875,0.666666666666667,0.655844155844156,1,1,0,1,0,0.261627906976744,0.513966480446927,0.271844660194175,0.832258064516129,0.557142857142857,38.1,0.176811594202899,0.36504854368932,0.113456464379947,0.0316622691292876,0.098504837291117,0.109938434476693,0,0.609195402298851,0,0.390804597701149,0,0,0,0,0,0.201101928374656,2,0.128545308271776,497.621313035205,Rural,"The tract encompassing the village-centers of Flintstone, Oldtown, and Little Orleans",Allegany County
24001000200,0.287744227353464,0.641217150760719,0.0431765612952968,0,0,0,0,0,0,0.176190476190476,0,0,0.193548387096774,0,0,0,0,0,0,0,0,0.233333333333333,0,0.807692307692308,0,0.611702127659575,0.807106598984772,0.699115044247788,0.695740365111562,0.539473684210526,0.571428571428571,0.541666666666667,0.614906832298137,0,0,0.340909090909091,0,0.540540540540541,0.241666666666667,0.137142857142857,0.692771084337349,0.4,0.694214876033058,36.9,0.218831734960767,0.440944881889764,0.147461724415794,0.0136986301369863,0.0547945205479452,0.127316680096696,0,0.821428571428571,0.125,0.0535714285714286,0,0,0,0.00407055630936228,0,0.25,1,0.100113070317514,125.549584758183,Mixed,The tract encompassing the village-centers of Pleasant Grove and Spring Gap,Allegany County
24001000500,0.333333333333333,0.646058732612056,0.0887918486171761,0,0.0641025641025641,0,0,0,0,0,0,0,0,0.428571428571429,1,0,0,0.163636363636364,0,0,0,0,0,0.905982905982906,0.333333333333333,0.339622641509434,1,0.677852348993289,0.313131313131313,0.563106796116505,0.6,0.75,0.454545454545455,0.753521126760563,0.619047619047619,0.0526315789473684,0.0526315789473684,0,1,0.5,0.533333333333333,1,1,36,0.33729216152019,0.358126721763085,0.0750798722044728,0,0.0399361022364217,0.145367412140575,0.0277777777777778,0.458333333333333,0.152777777777778,0.388888888888889,0,1,0.0169286577992745,0.0351796407185629,0,0.100362756952842,1,0.192114586688392,337.152930806523,Mixed,The neighborhood of Rolling Mills,Allegany County
24001000600,0.149443561208267,0.483318700614574,0.0305862361937128,0,0,0,0.166666666666667,0,0,0.0552486187845304,0,0,0,0,0,0,0,0.205882352941176,0.0658682634730539,0,0,0,0,1,0.44,0,0.625,0.232558139534884,0.20353982300885,0.0268817204301075,0.0246913580246914,1,0.69811320754717,1,0.125,1,0,0.0555555555555556,0.414035087719298,0.423469387755102,0.476923076923077,0.275,0.780487804878049,38.8,0.160377358490566,0.269016697588126,0.0718667835232253,0.0192813321647677,0.07011393514461,0.0455740578439965,0.15625,0.3125,0.15625,0.53125,0,0,0,0.00512295081967213,0,0.116475095785441,1,0.0989638401353352,198.3032873807,Mixed,The community of Cumberland Heights,Allegany County
24001000700,0.481257557436518,0.472191116088093,0.0466760961810467,0.206896551724138,0,0,0,0,0.0351758793969849,0.260869565217391,0,0.4,0,0,0,0,0.0163934426229508,0,0,0,0,0,0,0.797202797202797,0,0,0,0,0.10762331838565,0.21078431372549,0.541666666666667,0.0740740740740741,0.514018691588785,0.358823529411765,0,0,0.207792207792208,0,0.316784869976359,0.38961038961039,0.153846153846154,0,0.909677419354839,36.6,0.279251170046802,0.407670454545455,0.132789317507418,0.072700296735905,0.0882789317507418,0.0229970326409496,0.216101694915254,0.521186440677966,0.177966101694915,0.300847457627119,0,0,0,0.00814956855225312,0,0.138812154696133,7,0.134895307899776,103.346165235416,Urban,The neighborhood of White Oaks,Allegany County
24001000800,0.378600823045268,0.398265510340227,0.0798226164079823,0,0.5,0.136363636363636,0,0.363636363636364,0,0,0,0,0,0,0,0,0,0,0.172661870503597,0,0,0,0,0.127272727272727,0,0,0.39,0.3125,0.116071428571429,0.402061855670103,0.325581395348837,0.75,0.580645161290323,1,0,0,0,0.583333333333333,0.0211267605633803,0.221238938053097,0.95,0.461538461538462,0.605263157894737,34.2,0.291764705882353,0.431535269709544,0.072289156626506,0,0.0602409638554217,0.125301204819277,0.11,0.34,0.08,0.58,0.19,0,0.00484848484848485,0.00387221684414327,0,0.127272727272727,4,0.159156606019384,541.075050709939,Mixed,The tract 0.5 miles W of the community of South Cumberland,Allegany County
24001001000,0.506329113924051,0.526990553306343,0.209700427960057,0,0,0,0.479452054794521,0.169230769230769,0,0.326530612244898,0,0,0,0.466666666666667,0,1,0,0,0.5,0,0.191489361702128,0,0,0.295081967213115,0,0,0.179775280898876,0.252873563218391,0,0.222222222222222,0.898305084745763,0.522727272727273,0.5,0.523809523809524,1,0,0,0.256410256410256,0.474576271186441,0,0.447058823529412,0,0.538461538461538,40.5,0.147727272727273,0.41970802919708,0.0938628158844765,0,0.13898916967509,0.00180505415162455,0.164556962025316,0.20253164556962,0,0.79746835443038,0.392405063291139,0,0,0,0,0.256109481915934,4,0.172839927045869,1824.09897794513,Urban,The city-center of Cumberland,Allegany County
24001001100,0.0099502487562189,0.613979348689436,0.0493827160493827,0.5,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508196721311475,0.5,1,0.578947368421053,0.166666666666667,0.115384615384615,0.305555555555556,0.756756756756757,0.578947368421053,1,1,1,1,0.518518518518519,0.59375,0.255813953488372,0.75,0.407407407407407,0.774193548387097,1,40.3,0.274576271186441,0.10828025477707,0.0952380952380952,0,0.0995670995670996,0.0865800865800866,0,0.8,0,0.2,0,0,0,0,0,0.124816446402349,1,0.110668485675307,829.936753338018,Urban,The neighborhood of West Side,Allegany County
24001001200,0.158291457286432,0.392277992277992,0.0255918106206014,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0487804878048781,0,0,0,0,0,0.404761904761905,0,0,0,0.145038167938931,0.16,0.152941176470588,0,0.510204081632653,0.631578947368421,0.779527559055118,0,0,0.517241379310345,0.150485436893204,0.0862068965517242,0.165137614678899,0.548387096774194,0.68,39.9,0.10545905707196,0.354285714285714,0.0991464215364412,0,0.0466185160866711,0.0223243598161523,0,0,0.363636363636364,0.636363636363636,0.151515151515152,0,0,0.00519603212092584,0,0.0744186046511628,5,0.0812103058601164,780,Mixed,The tract encompassing the neighborhoods of The Dingle and Cumberland Narrows,Allegany County
24001001300,0.257225433526012,0.777426826700358,0.0577105014191107,0,0,0,0,0,0.284722222222222,0.0372670807453416,0,0,0,0,0,0,0,0.245614035087719,0,0,0,0,0,0.986666666666667,1,0.331550802139037,0.837905236907731,0.873617693522907,0.850467289719626,0.786188579017264,0.866666666666667,0.83,0.988095238095238,0.685714285714286,1,0,1,0.22972972972973,0.493333333333333,0.0495867768595041,0.582417582417583,0.56,0.633663366336634,40.4,0.0396600566572238,0.34032634032634,0.0522088353413655,0,0.0662650602409639,0.0451807228915663,0,0,0.290322580645161,0.709677419354839,0.387096774193548,0,0,0,0,0.0973187686196624,2,0.180935726776346,122.465208747515,Mixed,The tract encompassing the village-centers of Bowling Green and Potomac Park,Allegany County
